Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
11107324,The Art of Cruelty: A Reckoning,Maggie Nelson,"Nelson, Maggie",,"=""0393072150""","=""9780393072150""",0,4.21,W. W. Norton & Company,Hardcover,304,2011,2011,,2021/07/18,to-read,to-read (#21),to-read,,,,0,0
6798263,Bluets,Maggie Nelson,"Nelson, Maggie",,"=""1933517409""","=""9781933517407""",0,4.04,Wave Books,Paperback,112,2009,2009,,2021/07/18,to-read,to-read (#20),to-read,,,,0,0
70134,Towards a New Architecture,Le Corbusier,"Corbusier, Le",,"=""0486250237""","=""9780486250236""",0,3.93,Dover Publications,Paperback,289,1985,1923,,2021/07/18,to-read,to-read (#19),to-read,,,,0,0
35881008,The Efficiency Paradox: What Big Data Can't Do,Edward Tenner,"Tenner, Edward",,"=""1400041392""","=""9781400041398""",0,3.27,Knopf,Hardcover,320,2018,2018,,2021/07/18,to-read,to-read (#18),to-read,,,,0,0
25734304,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Douglas Rushkoff,"Rushkoff, Douglas",,"=""1617230170""","=""9781617230172""",0,3.84,Portfolio,Hardcover,288,2016,2016,,2021/07/18,to-read,to-read (#17),to-read,,,,0,0
426504,Ficciones,Jorge Luis Borges,"Borges, Jorge Luis","Anthony Kerrigan, Anthony Bonner","=""0802130305""","=""9780802130303""",0,4.40,Grove Press,Paperback,174,1994,1944,,2021/07/18,to-read,to-read (#16),to-read,,,,0,0
265987,Malina,Ingeborg Bachmann,"Bachmann, Ingeborg","Philip Boehm, Rachel Kushner","=""0841911894""","=""9780841911895""",0,4.04,Holmes & Meier Publishers,Paperback,244,1990,1971,,2021/07/18,to-read,to-read (#15),to-read,,,,0,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",0,4.02,Vintage International,Paperback,308,1991,1947,,2021/07/18,to-read,to-read (#14),to-read,,,,0,0
33375622,Her Body and Other Parties: Stories,Carmen Maria Machado,"Machado, Carmen Maria",,"=""155597788X""","=""9781555977887""",0,3.80,Graywolf Press,Paperback,248,2017,2017,,2021/07/18,to-read,to-read (#13),to-read,,,,0,0
11455485,Satantango,László Krasznahorkai,"Krasznahorkai, László",George Szirtes,"=""0811217345""","=""9780811217347""",0,4.08,New Directions,Hardcover,274,2012,1985,,2021/07/18,to-read,to-read (#12),to-read,,,,0,0
40308171,"No Beast So Fierce: The Terrifying True Story of the Champawat Tiger, the Deadliest Man-Eater in History",Dane Huckelbridge,"Huckelbridge, Dane",,"=""0062678841""","=""9780062678843""",0,3.84,Mariner Books,Hardcover,304,2019,2019,,2021/07/18,to-read,to-read (#11),to-read,,,,0,0
3711,White Teeth,Zadie Smith,"Smith, Zadie",,"=""0375703861""","=""9780375703867""",0,3.79,Vintage,Paperback,448,2001,2000,,2021/07/18,to-read,to-read (#9),to-read,,,,0,0
43126457,Trick Mirror: Reflections on Self-Delusion,Jia Tolentino,"Tolentino, Jia",,"=""0525510540""","=""9780525510543""",0,4.02,Random House,Hardcover,303,2019,2019,,2021/07/18,to-read,to-read (#8),to-read,,,,0,0
34146472,Literally Show Me a Healthy Person,Darcie Wilder,"Wilder, Darcie",,"=""""","=""""",0,3.53,Tyrant Books,Unknown Binding,97,2017,2017,,2021/07/18,to-read,to-read (#7),to-read,,,,0,0
33401357,EEG,Daša Drndić,"Drndić, Daša",,"=""""","=""""",0,4.17,Fraktura,Unknown Binding,415,2016,2016,,2021/07/18,to-read,to-read (#6),to-read,,,,0,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.15,Vintage Books,Paperback,351,2010,1985,,2021/07/18,to-read,to-read (#5),to-read,,,,0,0
12497,No Country for Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.17,Knopf Doubleday Publishing Group,Paperback,309,2006,2005,,2021/07/18,to-read,to-read (#4),to-read,,,,0,0
21965107,The Children Act,Ian McEwan,"McEwan, Ian",,"=""0385539703""","=""9780385539708""",0,3.74,Nan A. Talese,Hardcover,221,2014,2014,,2021/07/18,,,read,,,,1,0
815309,On Chesil Beach,Ian McEwan,"McEwan, Ian",,"=""0224081187""","=""9780224081184""",0,3.62,Jonathan Cape,Hardcover,166,2007,2007,,2021/07/18,,,read,,,,1,0
30008702,Nutshell,Ian McEwan,"McEwan, Ian",,"=""""","=""""",0,3.68,Nan A. Talese,Hardcover,208,2016,2016,,2021/07/18,,,read,,,,1,0
13503109,This Is How You Lose Her,Junot Díaz,"Díaz, Junot",,"=""1594487367""","=""9781594487361""",0,3.74,Riverhead Books,Hardcover,217,2012,2010,,2021/07/18,,,read,,,,1,0
36373372,Ohio,Stephen Markley,"Markley, Stephen",,"=""1501174479""","=""9781501174476""",0,3.88,Simon & Schuster,Hardcover,484,2018,2018,2021/07/15,2021/07/01,,,read,,,,1,0
28015606,The Grown Up,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",0,3.55,Weidenfeld & Nicholson,Paperback,67,2015,2014,2021/07/01,2021/07/01,,,read,,,,1,0
23425,Status Anxiety (Vintage International),Alain de Botton,"Botton, Alain de",,"=""0375725350""","=""9780375725357""",0,3.89,Vintage,Paperback,306,2005,2004,2021/06/10,2021/06/11,,,read,,,,1,0
2052,"The Big Sleep (Philip Marlowe, #1)",Raymond Chandler,"Chandler, Raymond",,"=""""","=""""",0,3.94,Vintage Crime,Paperback,231,1988,1939,2021/06/04,2021/06/05,,,read,,,,1,0
30555488,The Underground Railroad,Colson Whitehead,"Whitehead, Colson",,"=""0385542364""","=""9780385542364""",0,4.06,Doubleday,Hardcover,306,2016,2016,2021/05/21,2021/05/23,,,read,,,,1,0
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.81,Scribner,Hardcover,96,1996,1952,2021/05/21,2021/05/23,,,read,,,,1,0
36613747,How to Change Your Mind: The New Science of Psychedelics,Michael Pollan,"Pollan, Michael",,"=""0241294223""","=""9780241294222""",0,4.27,ALLEN LANE,Hardcover,480,2018,2018,2021/05/13,2021/05/14,,,read,,,,1,0
63033,The Savage Detectives,Roberto Bolaño,"Bolaño, Roberto",Natasha Wimmer,"=""0374191484""","=""9780374191481""",0,4.18,"Farrar, Straus and Giroux",Hardcover,577,2007,1998,,2021/05/12,,,read,,,,1,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,4.14,Faber & Faber,Paperback,258,2005,1989,2021/01/01,2021/05/10,,,read,,,,1,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",0,4.00,Alfred A. Knopf,Hardcover,241,2006,2006,,2021/04/27,,,read,,,,1,0
1381,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0143039954""","=""9780143039952""",0,3.84,Penguin Classics ,Paperback,541,2006,-800,,2021/04/27,,,read,,,,1,0
17245,Dracula,Bram Stoker,"Stoker, Bram","Rubén Toledo, Nina Auerbach, David J. Skal","=""0393970124""","=""9780393970128""",0,4.02,Norton,Paperback,488,1986,1897,,2021/04/27,,,read,,,,1,0
5886881,Dark Places,Gillian Flynn,"Flynn, Gillian",,"=""0307341569""","=""9780307341563""",0,3.94,Shaye Areheart Books,Hardcover,424,2009,2009,2021/01/01,2021/04/27,,,read,,,,1,0
297673,The Brief Wondrous Life of Oscar Wao,Junot Díaz,"Díaz, Junot",,"=""1594489580""","=""9781594489587""",0,3.89,Riverhead Books,Hardcover,335,2007,2007,,2021/04/14,,,read,,,,1,0
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""""","=""""",0,3.95,Anchor Books,Paperback,351,2003,2001,,2021/04/14,,,read,,,,1,0
12991188,Train Dreams,Denis Johnson,"Johnson, Denis",,"=""1250007658""","=""9781250007650""",0,3.89,Picador Paper,Paperback,116,2012,2002,2021/01/01,2021/04/14,,,read,,,,1,0
43565369,The Topeka School,Ben Lerner,"Lerner, Ben",,"=""0374277788""","=""9780374277789""",0,3.51,"Farrar, Straus and Giroux",Hardcover,282,2019,2019,2021/04/14,2021/04/12,,,read,,,,1,0
62805,The Sound of Waves,Yukio Mishima,"Mishima, Yukio",,"=""""","=""""",0,3.77,Vintage Classics,Paperback,183,2000,1954,2021/01/01,2021/04/12,,,read,,,,1,0
